name,nickname,distribution,origin,size,function,groups,height,weight,life_age,price
比利牛斯牧羊犬,莱布瑞特犬,法国,法国及比利牛斯山脉,中型犬,牧羊犬,牧羊犬，工作犬,38-56厘米,8-15公斤,12-13年,1000-5000
杜高犬,阿根廷獒,阿根廷,阿根廷,大型犬,"家庭犬,护卫犬",家庭犬，护卫犬,61-69cm,36-45kg,10-11 years,2000-3000
比利时特伏丹犬,比利时特伏丹犬,比利时,比利时,中型犬,牧羊犬,牧羊犬，工作犬,55-60cm,26-28kg,12-15年,1000-5000
斗牛马士提夫犬,斗牛獒犬,英国,英国,大型犬,工作犬,工作犬,64-69cm,41-59kg,9-11 years,3000左右
波兰低地牧羊犬,波兰低地牧羊犬,波兰,波兰,中型犬,牧羊犬,牧羊犬,41-51厘米,14-16公斤,13-15年,1000-10000
德国宾莎犬,德国刚毛小猛犬  德国平犬,德国,德国,中型犬,狩猎犬,工作犬,45-50厘米,14-20公斤,12-14年,2000-20000
波利犬,匈牙利波利犬,匈牙利,匈牙利,中型犬,牧羊犬,牧羊犬,37-44cm,10-15kg,10-12 years,1000-20000
波士顿梗,波士顿狗,美国,美国波士顿,中型犬,家庭犬,工作犬,38-43cm,4-11kg,12-13years,1000-3000
冰岛牧羊犬,"冰岛犬,  弗里亚犬",冰岛,冰岛,中型犬,牧羊犬,牧羊犬，工作犬,31-41厘米,11-14公斤,9-14年,5000-10000
巴斯特牛头梗,巴斯特牛头梗,英国,英国,小型犬,家庭犬,家庭犬,48-56厘米,18-22公斤左右,10-12年,1500-10000
比格犬,猎兔犬，格鲁猎犬,美国，日本,英国,小型犬,狩猎犬,狩猎犬,33-41厘米,8-14公斤,12-15年,1500-2000
巴西獒犬,菲勒布瑞斯莱亚犬、考迪菲...,巴西,巴西,大型犬,家庭犬,工作犬，家庭犬,61-76cm,41-50kg,9-11年,3000-6000
布鲁塞尔格里芬犬,比利时粗毛犬、布鲁塞尔格...,北美和英国,比利时,小型犬,玩具犬,玩具犬,18-20厘米,2.5-5.5公斤,12-15年,1000-6000
捕鼠梗犬,美国捕鼠梗犬,美国,英国,小型犬,梗类犬,梗犬,36-40厘米,10-18公斤,11-14年,1000-5000
澳大利亚牧羊犬,澳牧,法国,法国以及西班牙的巴斯科地区,中型犬,工作犬,工作犬,50-59cm,16-32kg,12-13years,2000-8000
巴吉度犬,法国短脚猎犬，巴吉度猎犬...,法国，英国,法国,小型犬,狩猎犬,狩猎犬，工作犬,33-38厘米,18-27公斤,12-13年,1000-7000
布列塔尼犬,伊巴尼尔•布列顿犬、不列...,法国,法国,中型犬,枪猎犬,狩猎犬,46-52厘米,13-15公斤,10-12年,1000-2000
爱尔兰梗,爱尔兰红梗,爱尔兰,爱尔兰,中型犬,梗类犬,家庭犬,46-48厘米,11-12公斤,12-15年,2500-10000
博得猎狐犬/边境梗,边境梗,遍及全世界,英国,小型犬,梗类犬,梗犬,20-25厘米,5-7公斤,10年-12年,1000-3000元
爱尔兰猎狼犬,爱尔兰猎狼犬,爱尔兰,爱尔兰,大型犬,枪猎犬,枪猎犬，工作犬,71-90厘米,40-55公斤,6-8年,1000-30000
阿富汗猎犬,阿富汗犬、阿富汗、俾路支...,阿富汗及其周边地区，西方国家等,阿富汗,大型犬,狩猎犬,狩猎犬，工作犬,64-74厘米,23-27公斤,12-15年,2000起
爱尔兰雪达犬,爱尔兰塞特犬,爱尔兰,爱尔兰,大型犬,狩猎犬,狩猎犬，工作犬,61-71厘米,25-34公斤,12-14年,1000-5000
阿拉斯加雪橇犬,阿拉斯加犬，阿拉斯加马拉...,德国,德国,,工作犬,工作犬，家庭犬,58-71厘米,39-56公斤,12～20年,500-5000
澳大利亚牧牛犬,昆士蓝赫勒犬、蓝色赫勒犬,澳大利亚,澳大利亚,中型犬,工作犬,工作犬,43-51厘米,16-20公斤,12-15年,2000-15000
爱尔兰红白雪达犬,非纯色长毛猎犬；爱尔兰长...,爱尔兰,爱尔兰,大型犬,枪猎犬,枪猎犬，工作犬,58-69厘米,27-32公斤,13年,1800-4000
爱尔兰赛特犬,爱尔兰雪达，爱尔兰蹲猎犬...,爱尔兰,爱尔兰,大型犬,枪猎犬,枪猎犬，工作犬,61-71厘米,25-34公斤,12-14 years,1000-5000
爱尔兰峡谷梗,爱尔兰依马尔山谷梗,爱尔兰,爱尔兰,小型犬,梗类犬,家庭犬,46～48厘米,11～12公斤,12-13年,1000以内
澳大利亚梗,澳洲梗,澳洲,澳大利亚,小型犬,梗类犬,玩具犬，梗犬,24-25厘米,5-6公斤,14年,大概1000-3000
爱斯基摩犬,美国爱斯基摩犬,美国,美国,中型犬,工作犬,工作犬,51-69厘米,27-48公斤,12－13年,500-10000
茶杯犬,小型吉娃娃,欧美,美国,小型犬,玩具犬,玩具犬,27cm以下,1.4kg以下,10岁以内,10000-30000
